smiles,group
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training
Cc1occc1C(=O)Nc1ccccc1,training
CC(C)=CCCC(C)=CC=O,training
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,training
c1ccsc1,training
c1ccc2scnc2c1,training
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,training
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,training
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,training
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,test
O=C1CCCN1,training
Clc1ccc2ccccc2c1,training
C=CCCC,test
CCC1(c2ccccc2)C(=O)NCNC1=O,training
CCCCCCCCCCCCCC,valid
CC(C)Cl,training
CCC(C)CO,training
N#Cc1ccccc1,training
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,training
CCCCCCCCCC(C)O,test
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,training
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,test
CCOP(=S)(OCC)SCSCC,training
CCOc1ccc(NC(C)=O)cc1,training
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],training
CCCCCCCO,training
Cn1c(=O)c2[nH]cnc2n(C)c1=O,training
CCCCC1(CC)C(=O)NC(=O)NC1=O,training
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,training
CCCCCCCC(=O)OC,training
CCc1ccc(CC)cc1,training
CCOP(=S)(OCC)SCSC(C)(C)C,training
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,training
C=C(Cl)Cl,training
Cc1cccc2c1Cc1ccccc1-2,training
CCCCC=O,training
c1ccc(Nc2ccccc2)cc1,training
CN(C)C(=O)SCCCCOc1ccccc1,training
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,test
CCCCCCCI,valid
Clc1cccc(-c2ccccc2)c1,training
C=CCCCO,training
O=C1NC(=O)C2(CCC2)C(=O)N1,training
CC1CCC(C(C)C)C(O)C1,test
CC(C)OC=O,test
CCCCCC(C)O,training
CC(=O)Nc1ccc(Br)cc1,training
Nc1cnn(-c2ccccc2)c(=O)c1Br,training
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],training
Cc1ccc2ccc(C)nc2c1,training
C#CCCCCCC,training
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,training
c1ccc2c(c1)ccc1c3ccccc3ccc21,training
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,test
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,valid
Cc1ccccc1O,valid
CC(C)CCC(C)(C)C,training
Cc1ccc(C)c2ccccc12,valid
Cc1cc2c3ccccc3ccc2c2ccccc12,training
CCCC(C)=O,training
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,training
CCCOC(=O)CC,training
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,training
Nc1ccc(O)cc1,training
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,valid
O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,training
CCNc1nc(Cl)nc(N(CC)CC)n1,training
NC(=O)c1cnccn1,training
CCC(Br)(CC)C(=O)NC(N)=O,training
Clc1ccccc1-c1ccccc1Cl,valid
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,test
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,training
CC12CCC(CC1=O)C2(C)C,training
C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,training
CCCCC(=O)OCC,training
CC(=O)OCCC(C)C,training
CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,training
Clc1cccc(-c2cc(Cl)ccc2Cl)c1,training
CCCBr,training
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,training
COP(=S)(OC)SCC(=O)N(C)C=O,training
Cc1ncnc2nccnc12,training
NC(N)=S,training
Cc1ccc(C)cc1,training
CCc1ccccc1CC,training
ClC(Cl)(Cl)C(Cl)(Cl)Cl,training
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,valid
CCC[N+](=O)[O-],test
CC1CCC(C(C)C)C(=O)C1,training
CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21,training
O=[N+]([O-])c1cccc(Cl)c1Cl,training
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,valid
c1ccc2c(c1)-c1cccc3cccc-2c13,training
CCCOC(C)C,training
Cc1cc(C)c2ccccc2c1,valid
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,training
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,training
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,training
c1ccc(C2CO2)cc1,test
CC(C)c1ccccc1,test
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,training
Clc1c(Cl)c(Cl)c2nccnc2c1Cl,training
OC1COC(O)C(O)C1O,training
ClCCl,training
CCc1cccc2ccccc12,training
COC=O,test
O=[N+]([O-])c1ccccc1O,valid
Cc1c[nH]c(=O)[nH]c1=O,training
CC(C)C,training
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,test
N#Cc1cc(I)c(O)c(I)c1,training
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,training
CCCCC,training
Oc1ccccc1,training
Nc1ccc2cc3ccccc3cc2c1,training
Cn1cnc2c1c(=O)[nH]c(=O)n2C,valid
c1ccc2cnccc2c1,training
COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,training
CCCCCCc1ccccc1,training
Clc1ccccc1-c1ccccc1,test
C=C(C)CCC,valid
CC(C)C(C)C(C)C,training
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,training
O=[N+]([O-])c1cccc(O)c1,training
C=CCCCCCCCC,training
CC(=O)OCC(COC(C)=O)OC(C)=O,test
CCCCc1c(C)nc(N(C)C)nc1O,training
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,training
c1ccncc1,training
CCCCCCCBr,training
Cc1ccncc1C,training
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,training
CCSCc1ccccc1OC(=O)NC,training
CCOC(=O)CC(=O)OCC,training
C=C(C)C1CC=C(C)CC1,test
c1ccc2c(c1)CCC2,training
CC(C)(C)c1ccc(O)cc1,training
O=C1NC(=O)C2(CC2)C(=O)N1,valid
Clc1cccc(I)c1,training
Brc1cccc2ccccc12,test
C/C=C/CC,training
Cc1cccc(C)n1,training
ClC=C(Cl)Cl,training
Nc1cccc2ccccc12,training
Cc1cccc(C)c1,training
Oc1ncc2nccnc2n1,training
CO,training
CCC(C)=O,training
O=c1[nH]cc(F)c(=O)[nH]1,valid
Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,training
Oc1cccc(O)c1,training
CCCCCCO,test
CCCCCCl,valid
C=CC=C,training
CCCOC(C)=O,training
Oc1ccc2c(c1)CCCC2,training
NC(=O)CCl,training
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,valid
Cc1ccc(Cl)cc1,valid
CSc1nnc(C(C)(C)C)c(=O)n1N,test
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,training
CCCCCC=O,training
CCCCOC(=O)c1ccc(N)cc1,training
Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C,training
CC(C)=CCC/C(C)=C\CO,training
Clc1ccc(-c2ccccc2Cl)cc1,training
CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,training
CC[N+](=O)[O-],training
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],training
Clc1ccc(Cl)c(Cl)c1Cl,test
CCCC(C)(COC(N)=O)COC(N)=O,training
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,training
CI,test
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,training
CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,training
CC1=CC(=O)CC(C)(C)C1,valid
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,training
CCCCC(=O)CCCC,training
CCC1(c2ccccc2)CCC(=O)NC1=O,training
CCC(C)CC,valid
CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,training
Cc1ccccc1-n1c(C)nc2ccccc2c1=O,training
N#CCCl,training
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,valid
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,training
c1ccnnc1,training
Clc1cc(Cl)c(Cl)c(Cl)c1,training
CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,training
Nc1ccccc1O,training
CCCCCCCCC(=O)OCC,training
COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,valid
CNC(=O)Oc1ccccc1OC(C)C,training
CCC(C)Cl,training
Oc1ccc2ccccc2c1,training
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,training
C#CCCCC,training
C#CCCCCCCC,test
Cc1ccccc1Cl,valid
CC(C)OC(C)C,training
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,training
CNN,training
C#CC,training
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,training
CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,training
C=CC=O,training
O=c1[nH]cnc2nc[nH]c12,training
Oc1ccc2ncccc2c1,training
Fc1ccccc1,valid
CCCCl,training
CCOC(C)=O,training
CCCC(C)(C)C,training
Cc1cc(C)c(C)c(C)c1C,training
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,training
Clc1ccc(-c2ccc(Cl)cc2)cc1,valid
Cc1cccnc1C,training
C=C(C)C1CC=C(C)C(=O)C1,test
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,training
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,training
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,training
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],training
Brc1ccc2ccccc2c1,training
CNC(=O)Oc1cccc(N=CN(C)C)c1,valid
COc1cnc2ncncc2n1,training
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,training
CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,test
C=CC(=C)C,training
C=CC(C)(O)CCC=C(C)C,training
COP(=S)(OC)Oc1ccc(SC)c(C)c1,training
OC1CCCCC1,training
C=CCC1(C)C(=O)NC(=O)NC1=O,training
Cc1ccc(-c2ccccc2)cc1,training
CCNc1nc(Cl)nc(NC(C)C)n1,training
NC(=S)Nc1ccccc1,test
CCCC(=O)CCC,training
CC(=O)C(C)(C)C,training
Oc1ccc(Cl)cc1,training
O=C1CCCCC1,training
Cc1cccc(N)c1,training
N#CC(Cl)(Cl)Cl,test
CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,training
CCCCCCCCC(C)=O,training
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,valid
CCOC(=O)c1ccc(N)cc1,training
Clc1ccc(Cl)c(Cl)c1,training
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,valid
Oc1ccccc1O,training
CCN1c2ncccc2C(=O)N(C)c2cccnc21,test
CSC,test
Cc1ccccc1Br,training
CCOC(N)=O,training
CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,test
CC(C)C(O)C(C)C,training
c1ccc2ccccc2c1,training
CCNc1ccccc1,valid
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,training
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,test
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,training
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,training
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F,training
CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,test
CN(C)C(=O)Nc1ccc(Cl)cc1,training
OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,training
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,training
CCCCBr,training
Brc1cc(Br)c(Br)cc1Br,test
CC(=O)CC(C)C,training
CCSC(=O)N(CC)C1CCCCC1,training
COc1ccc(Cl)cc1,training
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,training
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,training
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,valid
Ic1cccc2ccccc12,training
CCS,training
ClCC(Cl)Cl,training
Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,training
NC(=O)c1ccccc1O,training
Cc1ccccc1[N+](=O)[O-],training
CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,training
CCc1ccccc1C,training
CCCCCCCCl,training
CCC1(CC)C(=O)NC(=O)NC1=O,training
c1ccc(CCc2ccccc2)cc1,valid
ClC(Cl)C(Cl)Cl,training
CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21,valid
Cc1ccc2c(ccc3ccccc32)c1,training
CCCCOC(=O)c1ccccc1C(=O)OCCCC,training
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,valid
CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,training
CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,valid
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1,training
COc1ccc([N+](=O)[O-])cc1,training
CCCCCCCl,training
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,valid
OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,test
CCCCCCCCCCCCCCCCCCCCCCCCCC,training
CCN1c2ccccc2N(C)C(=O)c2cccnc21,training
CC(Cl)Cl,test
Nc1ccc(S(N)(=O)=O)cc1,training
CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],training
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,training
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,training
Clc1cccc(Cl)c1Cl,training
ClC(Cl)(Cl)Cl,training
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,test
OC1CCCCCCC1,training
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,training
CCOc1ccc(NC(N)=O)cc1,training
CC1CCC(C)CC1,training
c1cnc2c(c1)ccc1ncccc12,valid
COC(C)(C)C,valid
CC=Cc1ccc(OC)cc1,training
CCCCCCCCCCCCCCCCO,training
O=c1cc[nH]c(=O)[nH]1,training
Nc1ncnc2nc[nH]c12,training
Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,training
COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,training
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,training
O=C(Nc1ccccc1)Nc1ccccc1,training
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,training
Clc1ccc(-c2cccc(Cl)c2Cl)cc1,training
CC(C)c1ccc(NC(=O)N(C)C)cc1,training
CCN(CC)C(=O)CSc1ccc(Cl)nn1,training
CCC(C)(C)CO,training
CCCOC(=O)CCC,training
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],test
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,training
C1CCCCCC1,training
CCCOC=O,test
Cc1ccccc1C(C)C,training
Nc1cccc(Cl)c1,training
CC(C)CC(C)C,training
c1ccc2c(c1)oc1ccccc12,training
CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,valid
CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,test
c1ccc2nc3ccccc3cc2c1,valid
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,training
OCC1OC(O)C(O)C(O)C1O,training
Cc1cccc(O)c1,valid
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,training
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,training
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,training
CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O,training
CCCCCCCCCC(=O)OCC,training
CN(C)C(=O)Nc1ccccc1,training
CCCOCC,training
CC(C)O,test
Cc1ccc2ccccc2c1,valid
ClC(Br)Br,training
CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,training
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,training
ClCc1ccccc1,test
C/C=C/C=O,test
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,training
Cc1c2ccccc2c(C)c2ccccc12,training
CCCCCC(=O)OC,training
CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,training
CC(=O)Nc1ccc(F)cc1,training
CCc1cccc(CC)c1N(COC)C(=O)CCl,test
C1=CCCCC1,training
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,training
c1cncnc1,training
O=[N+]([O-])c1ccc(Cl)cc1,training
CCC(=O)OC,training
O=[N+]([O-])c1ccccc1Cl,test
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,training
CN1CC(O)N(c2nnc(C(C)(C)C)s2)C1=O,training
O=[N+]([O-])c1ccccc1,test
Ic1ccccc1,training
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,training
COc1ccccc1OCC(O)COC(N)=O,training
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,training
Oc1cccc(Cl)c1Cl,training
CCCC(=O)OC,training
